"pickup_datetime","count"
"2018-06-01T00:00:00.000000Z",10725
"2018-06-01T01:00:00.000000Z",6614
"2018-06-01T02:00:00.000000Z",4096
"2018-06-01T03:00:00.000000Z",2650
"2018-06-01T04:00:00.000000Z",2530
"2018-06-01T05:00:00.000000Z",3774
"2018-06-01T06:00:00.000000Z",8707
"2018-06-01T07:00:00.000000Z",15373
"2018-06-01T08:00:00.000000Z",18592
"2018-06-01T09:00:00.000000Z",17203
"2018-06-01T10:00:00.000000Z",15583
"2018-06-01T11:00:00.000000Z",15775
"2018-06-01T12:00:00.000000Z",16608
"2018-06-01T13:00:00.000000Z",16529
"2018-06-01T14:00:00.000000Z",18208
"2018-06-01T15:00:00.000000Z",17551
"2018-06-01T16:00:00.000000Z",16203
"2018-06-01T17:00:00.000000Z",19257
"2018-06-01T18:00:00.000000Z",22283
"2018-06-01T19:00:00.000000Z",21242
"2018-06-01T20:00:00.000000Z",18133
"2018-06-01T21:00:00.000000Z",19005
"2018-06-01T22:00:00.000000Z",20031
"2018-06-01T23:00:00.000000Z",19383
"2018-06-02T00:00:00.000000Z",17818
"2018-06-02T01:00:00.000000Z",12496
"2018-06-02T02:00:00.000000Z",9804
"2018-06-02T03:00:00.000000Z",7202
"2018-06-02T04:00:00.000000Z",4825
"2018-06-02T05:00:00.000000Z",2675
"2018-06-02T06:00:00.000000Z",3646
"2018-06-02T07:00:00.000000Z",6013
"2018-06-02T08:00:00.000000Z",8803
"2018-06-02T09:00:00.000000Z",12546
"2018-06-02T10:00:00.000000Z",14977
"2018-06-02T11:00:00.000000Z",16838
"2018-06-02T12:00:00.000000Z",18715
"2018-06-02T13:00:00.000000Z",18948
"2018-06-02T14:00:00.000000Z",18018
"2018-06-02T15:00:00.000000Z",18033
"2018-06-02T16:00:00.000000Z",16899
"2018-06-02T17:00:00.000000Z",18114
"2018-06-02T18:00:00.000000Z",19336
"2018-06-02T19:00:00.000000Z",18991
"2018-06-02T20:00:00.000000Z",15072
"2018-06-02T21:00:00.000000Z",16614
"2018-06-02T22:00:00.000000Z",18578
"2018-06-02T23:00:00.000000Z",18661
"2018-06-03T00:00:00.000000Z",17791
"2018-06-03T01:00:00.000000Z",13187
"2018-06-03T02:00:00.000000Z",10031
"2018-06-03T03:00:00.000000Z",7804
"2018-06-03T04:00:00.000000Z",4931
"2018-06-03T05:00:00.000000Z",2668
"2018-06-03T06:00:00.000000Z",3004
"2018-06-03T07:00:00.000000Z",4661
"2018-06-03T08:00:00.000000Z",6745
"2018-06-03T09:00:00.000000Z",10010
"2018-06-03T10:00:00.000000Z",13507
"2018-06-03T11:00:00.000000Z",15123
"2018-06-03T12:00:00.000000Z",16042
"2018-06-03T13:00:00.000000Z",15431
"2018-06-03T14:00:00.000000Z",15908
"2018-06-03T15:00:00.000000Z",15172
"2018-06-03T16:00:00.000000Z",15483
"2018-06-03T17:00:00.000000Z",15770
"2018-06-03T18:00:00.000000Z",16431
"2018-06-03T19:00:00.000000Z",15394
"2018-06-03T20:00:00.000000Z",13430
"2018-06-03T21:00:00.000000Z",13474
"2018-06-03T22:00:00.000000Z",14610
"2018-06-03T23:00:00.000000Z",9874
"2018-06-04T00:00:00.000000Z",6244
"2018-06-04T01:00:00.000000Z",2901
"2018-06-04T02:00:00.000000Z",1709
"2018-06-04T03:00:00.000000Z",1324
"2018-06-04T04:00:00.000000Z",1759
"2018-06-04T05:00:00.000000Z",3803
"2018-06-04T06:00:00.000000Z",9568
"2018-06-04T07:00:00.000000Z",14971
"2018-06-04T08:00:00.000000Z",17033
"2018-06-04T09:00:00.000000Z",15849
"2018-06-04T10:00:00.000000Z",13869
"2018-06-04T11:00:00.000000Z",14266
"2018-06-04T12:00:00.000000Z",14668
"2018-06-04T13:00:00.000000Z",14641
"2018-06-04T14:00:00.000000Z",16125
"2018-06-04T15:00:00.000000Z",16840
"2018-06-04T16:00:00.000000Z",16210
"2018-06-04T17:00:00.000000Z",18497
"2018-06-04T18:00:00.000000Z",21094
"2018-06-04T19:00:00.000000Z",19472
"2018-06-04T20:00:00.000000Z",16341
"2018-06-04T21:00:00.000000Z",17386
"2018-06-04T22:00:00.000000Z",15267
"2018-06-04T23:00:00.000000Z",9905
"2018-06-05T00:00:00.000000Z",5866
"2018-06-05T01:00:00.000000Z",3274
"2018-06-05T02:00:00.000000Z",1858
"2018-06-05T03:00:00.000000Z",1268
"2018-06-05T04:00:00.000000Z",1520
"2018-06-05T05:00:00.000000Z",3243
"2018-06-05T06:00:00.000000Z",8566
"2018-06-05T07:00:00.000000Z",14919
"2018-06-05T08:00:00.000000Z",17649
"2018-06-05T09:00:00.000000Z",16515
"2018-06-05T10:00:00.000000Z",15455
"2018-06-05T11:00:00.000000Z",15846
"2018-06-05T12:00:00.000000Z",16198
"2018-06-05T13:00:00.000000Z",16886
"2018-06-05T14:00:00.000000Z",18325
"2018-06-05T15:00:00.000000Z",17642
"2018-06-05T16:00:00.000000Z",16003
"2018-06-05T17:00:00.000000Z",18458
"2018-06-05T18:00:00.000000Z",20910
"2018-06-05T19:00:00.000000Z",20264
"2018-06-05T20:00:00.000000Z",17891
"2018-06-05T21:00:00.000000Z",19860
"2018-06-05T22:00:00.000000Z",18042
"2018-06-05T23:00:00.000000Z",12952
"2018-06-06T00:00:00.000000Z",7275
"2018-06-06T01:00:00.000000Z",4042
"2018-06-06T02:00:00.000000Z",2435
"2018-06-06T03:00:00.000000Z",1543
"2018-06-06T04:00:00.000000Z",1689
"2018-06-06T05:00:00.000000Z",3240
"2018-06-06T06:00:00.000000Z",8637
"2018-06-06T07:00:00.000000Z",15393
"2018-06-06T08:00:00.000000Z",18414
